Listing Number,Status,Property Sub-Type,Street #,Street Name,Original List Price,Listing Price,Sold Price,Cumulative DOM,Days On Market,# Bedrooms,Baths - Total,Baths - Full,Baths - 3/4,Baths - 1/2,Baths - 1/4,Approx SqFt,Lot SqFt,Year Built,Sold Date
214035186,C,SF,5243,Whitecap,888000,819000,785000,322,322,4,3,2,0,1,0,2810,4129,1978,1/29/2016
215009277,C,SF,1031,Mandalay Beach,7950000,6350000,5325000,189,189,4,5,4,0,1,0,6213,10549,2007,1/12/2016
215009848,C,SF,5211,Terramar,1224000,1224000,1224000,132,132,3,3,2,0,1,0,2727,4217,2002,1/12/2016
215011587,C,SF,1409,Marine,4495000,4395000,3950000,299,299,5,5,4,0,0,1,4750,4395,0,6/22/2016
215012043,C,SF,4937,Marlin,1204000,1204000,1100000,114,114,4,4,3,0,1,0,2795,4314,1999,2/3/2016
215013745,C,TH,5022,Nautilus,450000,434999,425000,171,171,2,3,2,0,0,1,1291,670,1979,3/7/2016
215014300,C,SF,5355,Beachcomber,1299000,1299000,1249000,103,103,3,4,3,0,1,0,2421,3920,1977,2/11/2016
215014791,C,SF,5360,Reef Way,849000,849000,837000,105,105,3,2,1,1,0,0,1887,4090,1965,3/25/2016
215015801,C,SF,5318,Breakers,775000,699000,682500,159,159,3,2,2,0,0,0,1520,4000,1972,4/22/2016
215016158,C,TH,5357,Driftwood,639000,619500,598750,324,115,3,3,3,0,0,0,1589,823,1990,4/18/2016
215016456,C,SF,5008,Terramar,1099000,1099000,990000,31,31,3,3,2,0,1,0,2947,4672,2011,1/27/2016
215016501,C,CN,5035,Nautilus,420000,330000,312500,365,365,1,1,1,0,0,0,676,435,1978,11/17/2016
215016509,C,SF,5034,Terramar,745000,738000,720000,65,65,2,3,3,0,0,0,1745,4060,2004,1/22/2016
215016568,C,SF,4918,Marlin,699000,699000,692000,129,129,3,2,2,0,0,0,1555,4132,1965,4/11/2016
215017018,C,SF,1501,Mandalay Beach,3349000,3199900,3015000,328,155,4,6,5,0,1,0,5235,6486,2006,5/31/2016
215017109,C,SF,867,Mandalay Beach,3295000,3295000,3000000,107,107,3,2,2,0,0,0,1860,9367,1970,4/14/2016
215017767,C,SF,5005,Terramar,979000000,979000,950000,59,59,3,3,2,0,1,0,2947,5338,2008,2/29/2016
216000914,A,SF,5016,Amalfi,1499000,1340000,,675,334,4,4,3,0,1,0,4292,5800,1984,
216001441,C,TH,5125,Wooley,499000,499000,466250,46,46,2,3,2,0,1,0,1642,1742,1978,3/16/2016
216001145,C,SF,5155,Terramar,895000,895000,850000,88,88,4,3,3,0,0,0,2086,4300,1980,5/9/2016
216002146,C,CN,5500,Driftwood,334500,334500,290000,140,140,2,1,1,0,0,0,912,7529,1963,7/29/2016
216003444,C,SF,5301,Reef,699900,699900,685000,78,78,4,2,2,0,0,0,2622,4000,1976,7/6/2016
216004227,C,SF,5301,Moonstone,1249900,1249900,1200000,97,97,3,4,3,0,1,0,2915,5057,1987,7/15/2016
216004451,C,SF,5115,Corbina,999000,999000,999000,39,39,4,3,2,0,1,0,3105,4015,1987,6/8/2016
216004452,C,SF,4916,Oceanaire,969000,930000,900000,91,91,3,2,2,0,0,0,1526,4000,1971,7/15/2016
216004884,C,CN,5314,Driftwood,510000,449000,439000,229,229,2,3,2,0,1,0,1258,1742,1978,12/6/2016
216005014,C,CN,5120,Wooley,479000,479000,479000,41,41,2,2,1,0,1,0,912,1742,1978,6/1/2016
216005430,C,TH,5401,Driftwood,550000,550000,390000,15,15,2,2,1,0,1,0,1080,753,1981,5/18/2016
216005808,C,CN,5101,Neptune,775000,775000,750000,34,34,3,3,2,0,1,0,1835,887,1992,6/24/2016
216006097,C,TH,5220,Wooley,675000,649900,640000,344,74,3,4,3,0,1,0,1963,764,1990,8/4/2016
216006098,C,SF,5036,Amalfi,1295000,1295000,1250000,85,85,3,4,4,0,0,0,3646,6591,2001,8/26/2016
216006056,C,CN,5309,Driftwood,599000,599000,597500,56,56,3,4,1,2,1,0,1548,7520,2003,7/5/2016
216006514,C,SF,1081,Mandalay Beach,5100000,5100000,4900000,64,64,5,6,5,0,1,0,5099,4614,2005,7/27/2016
216006662,C,SF,5246,Outrigger,899000,899000,875000,37,37,3,3,2,0,1,0,2263,4548,1969,6/17/2016
216006693,P,SF,5506,Breakers,849000,799000,,169,169,4,3,2,0,1,0,1874,4022,1980,
216007264,C,SF,5528,Breakers,1050000,1050000,950000,245,70,4,5,3,2,0,0,3291,4000,1993,8/18/2016
216007049,C,CN,5435,Driftwood,479000,479000,479000,73,73,2,2,1,0,1,0,1643,1742,1978,8/19/2016
216007611,C,SF,5015,Marlin,994900,949000,966000,136,136,3,3,3,0,0,0,2350,4000,1974,10/21/2016
216008446,A,SF,1511,Mandalay Beach,3695000,3575000,,188,188,4,4,4,0,0,0,4008,6098,1990,
216008498,C,SF,1040,Mandalay Beach,1325000,1325000,1235000,72,72,5,5,4,0,1,0,3090,3052,1980,9/1/2016
216008546,C,SF,1073,Mandalay Beach,4600000,4600000,4075000,113,113,3,4,3,0,1,0,3758,4371,1996,10/26/2016
216006288,C,SF,4833,Corbina,729000,729000,700000,102,102,3,2,2,0,0,0,1504,4342,1977,10/11/2016
216008826,C,SF,5030,Amalfi,1230000,1230000,1231000,35,35,4,3,3,0,0,0,3232,6275,2000,7/27/2016
216009562,C,SF,5131,Breakwater,850000,830000,820000,34,34,3,3,3,0,0,0,2069,4000,1980,9/21/2016
216009813,C,SF,5227,Sealane,1695000,1395000,1350000,108,108,3,3,2,0,1,0,2546,4347,1986,11/1/2016
216010224,C,SF,5436,Breakers,675000,675000,671250,35,35,3,2,1,1,0,0,1834,4022,1963,9/9/2016
216010513,A,SF,5241,Beachcomber,950000,899000,,335,153,3,2,2,0,0,0,2424,4000,1973,
216010399,A,SF,4814,Oceanaire,1279000,1199000,,151,151,4,3,3,0,0,0,3249,4000,2000,
216010964,A,SF,1069,Mandalay Beach,4195000,3895000,,143,143,3,5,4,0,1,0,4685,4323,2002,
216011043,C,SF,4810,Amalfi,995000,889000,875000,73,73,3,3,3,0,0,0,1867,4089,1976,10/24/2016
216011351,C,SF,5125,Whitecap,1290000,1275000,1160000,165,84,3,4,3,0,1,0,2850,4100,0,11/10/2016
216011294,A,SF,4906,Marlin,830000,789000,,137,137,3,2,2,0,0,0,1695,4132,1970,
216011663,C,SF,5136,Sandpiper,925000,875000,865000,66,66,3,3,1,2,0,0,3076,4072,1988,10/21/2016
216011655,A,TH,1312,Mandalay Beach,780000,760000,,129,129,3,3,2,0,1,0,1754,857,1992,
216011768,A,SF,5212,Reef,1200000,1124000,,129,129,4,4,3,0,1,0,2762,4167,2008,
216011819,C,SF,5240,Whitecap,1075000,1075000,1085000,21,21,4,3,3,0,0,0,2979,4000,1990,9/6/2016
216011865,A,TH,4952,Nautilus,359000,359000,,609,130,2,2,1,0,1,0,1073,1742,1978,
216012002,C,SF,5333,Whitecap,1225000,1100000,1025000,107,107,4,4,4,0,0,0,2996,4159,1980,12/1/2016
216012087,A,CN,5401,Driftwood,555000,534900,,123,123,2,3,2,0,1,0,1080,753,1981,
216012102,A,CN,1366,Neptune,1190000,1097000,,122,122,2,3,2,0,1,0,1466,1742,1978,
216012168,C,SF,5031,Marlin,829000,829900,815000,57,57,4,3,3,0,0,0,2152,4000,1978,11/10/2016
216012498,A,TH,5205,Wooley,402500,389000,,173,113,1,2,1,0,1,0,912,1742,1978,
216012598,A,TH,1277,Mandalay Beach Rd,615000,589900,,111,111,2,2,2,0,0,0,1441,952,1981,
216013583,A,SF,761,Mandalay Beach,3690000,3300000,,276,89,4,4,4,0,0,0,3535,2656,2009,
216014103,A,SF,5003,Terramar,999900,969900,,254,77,3,3,2,0,1,0,2936,5343,2009,
216014275,A,SF,4836,Amalfi,1150000,1150000,,72,72,4,3,2,0,1,0,2585,4268,2000,
15216034,C,TH,5213,DRIFTWOOD,529900,495000,468000,111,111,3,3,3,,,,1508,768,2000,2/19/2016
16192915,C,SF,5215,SEALANE,874900,874900,860000,10,10,4,3,3,,,,2004,4347,1978,11/28/2016
16124476,P,SF,5121,SEABREEZE,500000,500000,,2,2,4,2,2,0,0,0,1838,4072,1980,
216014867,A,SF,1151,Capri,5500000,5500000,,58,58,5,5,3,0,2,0,5621,3840,1993,
216014937,C,SF,5301,Reef,1099000,1099000,1074000,40,40,4,4,3,0,1,0,2200,4000,1976,12/12/2016
216014858,C,SF,5346,Sandpiper Way,939000,939000,860000,27,27,3,3,3,0,0,0,3137,4072,1982,11/22/2016
216015167,A,TH,5060,Nautilus,609000,599000,,50,50,2,3,2,0,1,0,1607,829,1992,
216015237,A,SF,5028,Dolphin,989000,929000,,49,49,3,3,2,0,1,0,2860,4000,1988,
