"Listing Number","Status","Property Sub-Type","Street #","Street Name","Original List Price","Listing Price","Sold Price","Cumulative DOM","Days On Market","# Bedrooms","Baths - Total","Baths - Full","Baths - 3/4","Baths - 1/2","Baths - 1/4","Approx SqFt","Lot SqFt","Year Built","Sold Date"
"214035186","C","SF","5243","Whitecap","888000.00","819000.00","785000.00","322","322","4","3.00","2","0","1","0.00","2810.00","4129.00","1978","2016-01-29"
"215009277","C","SF","1031","Mandalay Beach","7950000.00","6350000.00","5325000.00","189","189","4","5.00","4","0","1","0.00","6213.00","10549.00","2007","2016-01-12"
"215009848","C","SF","5211","Terramar","1224000.00","1224000.00","1224000.00","132","132","3","3.00","2","0","1","0.00","2727.00","4217.00","2002","2016-01-12"
"215011587","C","SF","1409","Marine","4495000.00","4395000.00","3950000.00","299","299","5","5.00","4","0","0","1.00","4750.00","4395.00","0","2016-06-22"
"215012043","C","SF","4937","Marlin","1204000.00","1204000.00","1100000.00","114","114","4","4.00","3","0","1","0.00","2795.00","4314.00","1999","2016-02-03"
"215013745","C","TH","5022","Nautilus","450000.00","434999.00","425000.00","171","171","2","3.00","2","0","0","1.00","1291.00","670.00","1979","2016-03-07"
"215014300","C","SF","5355","Beachcomber","1299000.00","1299000.00","1249000.00","103","103","3","4.00","3","0","1","0.00","2421.00","3920.00","1977","2016-02-11"
"215014791","C","SF","5360","Reef Way","849000.00","849000.00","837000.00","105","105","3","2.00","1","1","0","0.00","1887.00","4090.00","1965","2016-03-25"
"215015801","C","SF","5318","Breakers","775000.00","699000.00","682500.00","159","159","3","2.00","2","0","0","0.00","1520.00","4000.00","1972","2016-04-22"
"215016158","C","TH","5357","Driftwood","639000.00","619500.00","598750.00","324","115","3","3.00","3","0","0","0.00","1589.00","823.00","1990","2016-04-18"
"215016456","C","SF","5008","Terramar","1099000.00","1099000.00","990000.00","31","31","3","3.00","2","0","1","0.00","2947.00","4672.00","2011","2016-01-27"
"215016501","C","CN","5035","Nautilus","420000.00","330000.00","312500.00","365","365","1","1.00","1","0","0","0.00","676.00","435.00","1978","2016-11-17"
"215016509","C","SF","5034","Terramar","745000.00","738000.00","720000.00","65","65","2","3.00","3","0","0","0.00","1745.00","4060.00","2004","2016-01-22"
"215016568","C","SF","4918","Marlin","699000.00","699000.00","692000.00","129","129","3","2.00","2","0","0","0.00","1555.00","4132.00","1965","2016-04-11"
"215017018","C","SF","1501","Mandalay Beach","3349000.00","3199900.00","3015000.00","328","155","4","6.00","5","0","1","0.00","5235.00","6486.00","2006","2016-05-31"
"215017109","C","SF","867","Mandalay Beach","3295000.00","3295000.00","3000000.00","107","107","3","2.00","2","0","0","0.00","1860.00","9367.00","1970","2016-04-14"
"215017767","C","SF","5005","Terramar","979000000.00","979000.00","950000.00","59","59","3","3.00","2","0","1","0.00","2947.00","5338.00","2008","2016-02-29"
"216000914","A","SF","5016","Amalfi","1499000.00","1340000.00","","676","335","4","4.00","3","0","1","0.00","4292.00","5800.00","1984",""
"216001441","C","TH","5125","Wooley","499000.00","499000.00","466250.00","46","46","2","3.00","2","0","1","0.00","1642.00","1742.00","1978","2016-03-16"
"216001145","C","SF","5155","Terramar","895000.00","895000.00","850000.00","88","88","4","3.00","3","0","0","0.00","2086.00","4300.00","1980","2016-05-09"
"216002146","C","CN","5500","Driftwood","334500.00","334500.00","290000.00","140","140","2","1.00","1","0","0","0.00","912.00","7529.00","1963","2016-07-29"
"216003444","C","SF","5301","Reef","699900.00","699900.00","685000.00","78","78","4","2.00","2","0","0","0.00","2622.00","4000.00","1976","2016-07-06"
"216004227","C","SF","5301","Moonstone","1249900.00","1249900.00","1200000.00","97","97","3","4.00","3","0","1","0.00","2915.00","5057.00","1987","2016-07-15"
"216004451","C","SF","5115","Corbina","999000.00","999000.00","999000.00","39","39","4","3.00","2","0","1","0.00","3105.00","4015.00","1987","2016-06-08"
"216004452","C","SF","4916","Oceanaire","969000.00","930000.00","900000.00","91","91","3","2.00","2","0","0","0.00","1526.00","4000.00","1971","2016-07-15"
"216004884","C","CN","5314","Driftwood","510000.00","449000.00","439000.00","229","229","2","3.00","2","0","1","0.00","1258.00","1742.00","1978","2016-12-06"
"216005014","C","CN","5120","Wooley","479000.00","479000.00","479000.00","41","41","2","2.00","1","0","1","0.00","912.00","1742.00","1978","2016-06-01"
"216005430","C","TH","5401","Driftwood","550000.00","550000.00","390000.00","15","15","2","2.00","1","0","1","0.00","1080.00","753.00","1981","2016-05-18"
"216005808","C","CN","5101","Neptune","775000.00","775000.00","750000.00","34","34","3","3.00","2","0","1","0.00","1835.00","887.00","1992","2016-06-24"
"216006097","C","TH","5220","Wooley","675000.00","649900.00","640000.00","344","74","3","4.00","3","0","1","0.00","1963.00","764.00","1990","2016-08-04"
"216006098","C","SF","5036","Amalfi","1295000.00","1295000.00","1250000.00","85","85","3","4.00","4","0","0","0.00","3646.00","6591.00","2001","2016-08-26"
